serviceType,service,subService,price,startDate,endDate,currency
Donation,Sastha Preethi,Rudra Japam / Abhisekam,250,,2023-11-20,INR
Donation,Sastha Preethi,Puja Material,2500,,2023-11-20,INR
Donation,Sastha Preethi,Pal Payasam,5000,,2023-11-20,INR
Donation,Sastha Preethi,Flower Arrangement,5000,,2023-11-20,INR
Donation,Sastha Preethi,SoundSystem,5000,,2023-11-20,INR
Donation,Sastha Preethi,Sambhavanai,20001,,2023-11-20,INR
Donation,Sastha Preethi,Annadhanam (part contribution welcome),35001,,2023-11-20,INR
